,Y
099_S_4157.1,-1.21
099_S_4157.2,-1.71
024_S_4158,-1.34
024_S_4158.1,-0.219999999999999
024_S_4158.2,-0.239999999999998
024_S_4158.3,-0.539999999999999
153_S_4159,-0.57
153_S_4159.1,-1.71
153_S_4159.2,0.0200000000000031
141_S_4160,0.390000000000001
141_S_4160.1,-0.850000000000001
141_S_4160.2,0.380000000000003
094_S_4162,-2
094_S_4162.1,-2.49
023_S_4164,-0.75
023_S_4164.1,-1.76
023_S_4164.2,-4.98999999999999
023_S_4164.3,-4.05
116_S_4167,0.219999999999999
116_S_4167.1,-0.27
116_S_4167.2,-1.1
116_S_4167.3,-1.15
005_S_4168,-1.44
005_S_4168.1,-2.17
005_S_4168.2,-1.21
024_S_4169,0.149999999999999
024_S_4169.1,1.43
024_S_4169.2,-1.05
123_S_4170,0.890000000000001
002_S_4171,-0.219999999999999
002_S_4171.1,0.100000000000001
153_S_4172,-1.07
153_S_4172.1,-1.53
022_S_4173,-0.41
022_S_4173.1,0.359999999999999
022_S_4173.2,-0.800000000000001
022_S_4173.3,-1.89
068_S_4174,1.31
068_S_4174.1,0.5
116_S_4175,0.849999999999994
116_S_4175.1,1.38999999999999
116_S_4175.2,1.38
033_S_4177,0.359999999999999
033_S_4179,-1.56
067_S_4184,-1.21
067_S_4184.1,-0.200000000000003
067_S_4184.2,-0.659999999999997
067_S_4184.3,-2
005_S_4185,-1.76
005_S_4185.1,-1.35
941_S_4187,-0.130000000000003
941_S_4187.1,-0.240000000000002
941_S_4187.2,-0.350000000000001
941_S_4187.3,-0.539999999999999
012_S_4188,0.640000000000001
012_S_4188.1,0.289999999999999
136_S_4189,-1.49
136_S_4189.1,-1.3
006_S_4192,-0.0999999999999979
006_S_4192.1,-0.0799999999999983
031_S_4194,-0.210000000000001
031_S_4194.1,0.490000000000002
031_S_4194.2,-0.75
116_S_4195,1.46
116_S_4195.1,-0.289999999999999
116_S_4195.2,-1.27
116_S_4195.3,-2.55
022_S_4196,0.109999999999999
022_S_4196.1,-0.0700000000000003
022_S_4196.2,-1.52
127_S_4197,-4.08
127_S_4197.1,-1.77
127_S_4198,0.509999999999998
127_S_4198.1,-0.57
116_S_4199,-0.0499999999999972
116_S_4199.1,1.49
116_S_4199.2,0.310000000000002
116_S_4199.3,1.4
041_S_4200,-0.549999999999997
041_S_4200.1,-3.2
041_S_4200.2,-1.88
041_S_4200.3,-1.36
098_S_4201,-0.18
099_S_4202,-0.890000000000001
099_S_4202.1,-1.39
099_S_4202.2,-0.909999999999997
031_S_4203,-2.77
031_S_4203.1,-2.91
031_S_4203.2,-1.56
099_S_4205,0.399999999999999
099_S_4205.1,0.119999999999997
099_S_4205.2,-0.710000000000001
072_S_4206,1.15
072_S_4206.1,0.869999999999997
072_S_4206.2,0.710000000000001
082_S_4208,-1.23
082_S_4208.1,-0.469999999999999
082_S_4208.2,-1.66
082_S_4208.3,-3.7
116_S_4209,1.39
127_S_4210,1.62
127_S_4210.1,2.46
127_S_4210.2,1.29
127_S_4210.3,0.259999999999998
137_S_4211,-0.789999999999999
137_S_4211.1,-0.890000000000001
137_S_4211.2,-3.02
067_S_4212,0.390000000000001
067_S_4212.1,1.21
067_S_4212.2,1.2
002_S_4213,-0.350000000000001
002_S_4213.1,0.399999999999999
002_S_4213.2,-1.45
037_S_4214,-0.960000000000001
037_S_4214.1,-2.07
037_S_4214.2,0.190000000000005
037_S_4214.3,-3.5
098_S_4215,-1.34
